,region,periode,anxiete,anxiete_inf,anxiete_sup,depression,depression_inf,depression_sup,pbsommeil,pbsommeil_inf,pbsommeil_sup,hyg4mes,hyg4mes_inf,hyg4mes_sup,dist3mes,dist3mes_inf,dist3mes_sup,nbmoy7mes,nbmoy7mes_inf,nbmoy7mes_sup,nbmoy4mesHyg,nbmoy4mesHyg_inf,nbmoy4mesHyg_sup,dist1m,dist1m_inf,dist1m_sup,portmasque,portmasque_inf,portmasque_sup,,,
,11,Vague 1 : 23-25 mars,301,256,350, , , , , , , , , , , , , , , , , , , , , , , , , , ,
,24,Vague 1 : 23-25 mars,243,157,356, , , , , , , , , , , , , , , , , , , , , , , , , , ,
,27,Vague 1 : 23-25 mars,330,241,433, , , , , , , , , , , , , , , , , , , , , , , , , , ,
,28,Vague 1 : 23-25 mars,247,172,342, , , , , , , , , , , , , , , , , , , , , , , , , , ,
,32,Vague 1 : 23-25 mars,296,234,365, , , , , , , , , , , , , , , , , , , , , , , , , , ,
,44,Vague 1 : 23-25 mars,295,232,368, , , , , , , , , , , , , , , , , , , , , , , , , , ,
,52,Vague 1 : 23-25 mars,263,191,352, , , , , , , , , , , , , , , , , , , , , , , , , , ,
,53,Vague 1 : 23-25 mars,250,175,345, , , , , , , , , , , , , , , , , , , , , , , , , , ,
,75,Vague 1 : 23-25 mars,229,175,294, , , , , , , , , , , , , , , , , , , , , , , , , , ,
,76,Vague 1 : 23-25 mars,226,172,292, , , , , , , , , , , , , , , , , , , , , , , , , , ,
,84,Vague 1 : 23-25 mars,264,213,323, , , , , , , , , , , , , , , , , , , , , , , , , , ,
,93,Vague 1 : 23-25 mars,227,168,301, , , , , , , , , , , , , , , , , , , , , , , , , , ,
,11,Vague 2 : 30 mars-1 avr,194,156,239,206,167,251,635,584,684,449,397,501,670,619,717,561,545,577,306,294,317,,,,162,127,205,,,
,24,Vague 2 : 30 mars-1 avr,224,144,332,277,188,388,617,504,719,523,411,633,695,582,789,559,518,600,312,286,338,,,,119,63,215,,,
,27,Vague 2 : 30 mars-1 avr,176,109,273,178,111,272,550,446,651,558,453,658,652,547,744,566,532,601,318,295,341,,,,211,139,309,,,
,28,Vague 2 : 30 mars-1 avr,228,157,318,190,126,277,609,512,698,446,354,542,688,594,770,555,523,586,298,276,320,,,,93,50,166,,,
,32,Vague 2 : 30 mars-1 avr,226,172,291,164,118,223,649,578,714,480,410,551,717,648,777,567,543,591,308,292,324,,,,125,85,181,,,
,44,Vague 2 : 30 mars-1 avr,264,204,335,252,193,322,605,530,676,571,496,643,777,707,833,585,561,610,322,305,338,,,,170,121,235,,,
,52,Vague 2 : 30 mars-1 avr,179,119,259,146,92,222,572,480,659,402,316,493,666,575,746,551,521,580,300,281,319,,,,143,89,220,,,
,53,Vague 2 : 30 mars-1 avr,193,129,278,214,146,302,633,537,719,534,439,627,692,597,773,559,523,594,307,284,330,,,,140,86,219,,,
,75,Vague 2 : 30 mars-1 avr,179,130,241,178,130,241,601,530,669,485,414,557,729,660,789,555,528,582,300,283,318,,,,151,107,209,,,
,76,Vague 2 : 30 mars-1 avr,261,202,329,235,179,303,581,508,651,564,491,635,696,625,758,575,552,599,318,302,334,,,,172,124,234,,,
,84,Vague 2 : 30 mars-1 avr,229,181,286,185,142,238,622,560,681,485,423,547,720,661,773,570,549,591,311,297,325,,,,139,101,188,,,
,93,Vague 2 : 30 mars-1 avr,216,159,286,172,121,239,617,547,689,564,487,639,713,638,777,575,550,600,322,306,338,,,,166,116,232,,,
,11,Vague 3 : 14-16 avr,178,140,222,203,164,250,621,568,671,471,418,524,637,584,687,545,527,563,301,288,313,,,,272,228,322,,,
,24,Vague 3 : 14-16 avr,228,150,331,185,116,283,677,570,769,503,397,608,670,563,762,568,533,603,313,290,336,,,,215,140,316,,,
,27,Vague 3 : 14-16 avr,175,110,267,180,113,275,614,511,708,451,352,553,668,566,756,548,515,582,297,274,319,,,,174,109,267,,,
,28,Vague 3 : 14-16 avr,260,185,354,195,130,282,722,628,800,507,412,602,725,631,802,555,519,591,298,274,322,,,,248,174,341,,,
,32,Vague 3 : 14-16 avr,228,174,293,200,149,263,685,616,747,444,375,515,639,568,704,538,513,564,296,280,313,,,,213,161,277,,,
,44,Vague 3 : 14-16 avr,168,120,229,175,126,239,634,560,702,428,357,502,563,488,634,522,495,550,286,267,304,,,,200,148,264,,,
,52,Vague 3 : 14-16 avr,176,118,253,138,87,211,655,567,735,413,329,502,665,576,744,535,504,566,285,264,306,,,,193,132,272,,,
,53,Vague 3 : 14-16 avr,153,96,237,186,122,274,649,554,734,440,348,537,624,527,712,533,497,569,289,265,313,,,,170,109,254,,,
,75,Vague 3 : 14-16 avr,181,133,241,184,136,244,676,608,738,458,389,528,658,589,721,550,526,573,303,288,318,,,,283,224,350,,,
,76,Vague 3 : 14-16 avr,170,120,235,189,135,258,571,495,644,547,471,621,726,653,789,571,546,596,312,295,329,,,,286,222,359,,,
,84,Vague 3 : 14-16 avr,158,118,208,119,84,165,595,534,654,414,355,475,671,611,726,546,526,565,290,276,304,,,,240,192,297,,,
,93,Vague 3 : 14-16 avr,152,104,217,151,103,215,626,549,698,559,481,634,624,546,696,568,543,593,322,305,338,,,,253,192,326,,,
,11,Vague 4 : 20-22 avr,167,131,210,192,154,236,646,646,694,440,389,492,626,574,675,528,508,548,286,273,299,,,,309,263,359,,,
,24,Vague 4 : 20-22 avr,161,96,258,235,156,338,714,714,801,473,368,580,691,584,781,567,534,601,310,287,333,,,,257,175,361,,,
,27,Vague 4 : 20-22 avr,189,122,280,218,145,312,653,653,742,460,362,560,621,519,713,542,503,580,299,274,323,,,,197,128,289,,,
,28,Vague 4 : 20-22 avr,149,91,234,184,118,274,667,667,752,453,358,552,674,575,759,554,520,588,304,282,326,,,,290,210,385,,,
,32,Vague 4 : 20-22 avr,249,192,317,188,138,150,720,720,780,501,429,573,627,554,694,543,515,570,303,286,321,,,,258,200,327,,,
,44,Vague 4 : 20-22 avr,249,188,321,258,196,330,644,644,713,494,418,570,592,515,664,530,501,560,296,277,315,,,,262,201,335,,,
,52,Vague 4 : 20-22 avr,205,141,288,242,172,329,652,652,734,476,386,567,617,524,702,539,503,575,305,284,327,,,,268,196,356,,,
,53,Vague 4 : 20-22 avr,153,95,237,224,153,316,714,714,791,490,396,585,565,468,656,544,510,577,309,287,330,,,,215,148,302,,,
,75,Vague 4 : 20-22 avr,172,123,236,145,100,205,608,608,678,407,336,482,577,502,648,535,511,559,295,279,311,,,,229,173,298,,,
,76,Vague 4 : 20-22 avr,193,142,257,183,134,245,671,671,734,466,397,537,706,638,766,546,521,571,296,278,313,,,,301,240,369,,,
,84,Vague 4 : 20-22 avr,205,159,260,219,172,275,717,717,769,456,395,518,643,581,700,548,527,569,303,290,317,,,,281,229,340,,,
,93,Vague 4 : 20-22 avr,146,98,212,216,158,289,647,648,720,440,363,520,650,571,722,543,514,571,295,276,314,,,,346,274,426,,,
,11,Vague 5 : 28-30 avr,215,174,261,213,173,259,693,643,739,445,394,497,606,554,656,533,515,551,292,279,305,,,,398,348,450,,,
,24,Vague 5 : 28-30 avr,183,115,279,128,72,218,675,569,766,481,378,586,690,584,780,558,519,596,306,281,331,,,,339,247,444,,,
,27,Vague 5 : 28-30 avr,159,99,246,223,150,320,700,601,784,454,357,554,603,500,697,537,502,572,301,280,323,,,,316,231,416,,,
,28,Vague 5 : 28-30 avr,283,204,378,258,182,352,748,658,821,364,278,460,611,515,700,507,471,543,271,247,295,,,,289,210,383,,,
,32,Vague 5 : 28-30 avr,163,117,222,156,110,216,680,609,743,430,361,502,525,453,596,506,477,536,282,263,302,,,,239,184,304,,,
,44,Vague 5 : 28-30 avr,198,141,272,235,174,309,654,574,726,423,347,504,602,522,678,520,490,550,279,258,300,,,,395,320,476,,,
,52,Vague 5 : 28-30 avr,133,83,207,164,107,244,583,492,668,418,333,508,557,467,643,537,508,566,303,284,321,,,,262,190,349,,,
,53,Vague 5 : 28-30 avr,135,83,213,183,121,168,645,550,730,428,338,522,593,498,681,531,499,563,293,271,315,,,,230,161,317,,,
,75,Vague 5 : 28-30 avr,153,107,213,142,99,200,595,524,662,421,353,492,597,526,664,528,501,554,289,272,306,,,,306,246,375,,,
,76,Vague 5 : 28-30 avr,180,127,249,228,167,303,661,582,732,472,393,552,617,536,691,537,508,566,299,280,319,,,,293,226,371,,,
,84,Vague 5 : 28-30 avr,177,134,230,181,138,234,680,621,735,436,376,498,652,591,709,547,525,569,298,284,312,,,,371,313,432,,,
,93,Vague 5 : 28-30 avr,153,106,216,183,131,250,595,519,668,396,325,473,584,507,657,520,492,548,285,267,304,,,,346,277,421,,,
,11,Vague 6 : 4-6 mai,158,124,199,198,160,243,646,595,694,439,388,490,564,513,615,510,490,530,283,271,296,,,,448,397,499,,,
,24,Vague 6 : 4-6 mai,122,69,208,181,114,276,682,578,771,473,370,578,548,442,649,530,491,570,296,270,321,,,,457,355,562,,,
,27,Vague 6 : 4-6 mai,207,134,306,158,96,250,726,622,809,465,363,571,654,547,748,546,508,583,301,277,325,,,,449,348,555,,,
,28,Vague 6 : 4-6 mai,189,120,284,251,174,355,712,611,795,483,381,587,664,559,754,544,505,582,294,268,321,,,,372,278,476,,,
,32,Vague 6 : 4-6 mai,204,153,267,221,168,285,678,608,741,466,396,536,613,542,679,537,513,562,301,285,317,,,,350,286,420,,,
,44,Vague 6 : 4-6 mai,213,158,282,186,135,252,597,522,668,385,315,460,521,446,595,509,481,538,288,270,305,,,,366,297,441,,,
,52,Vague 6 : 4-6 mai,196,135,276,194,132,275,586,497,670,465,379,554,566,477,651,523,488,559,292,270,315,,,,306,231,392,,,
,53,Vague 6 : 4-6 mai,192,128,277,159,102,239,650,556,734,369,284,463,546,452,637,515,480,549,286,264,308,,,,195,132,280,,,
,75,Vague 6 : 4-6 mai,183,132,250,187,135,255,643,567,713,426,353,503,609,532,681,523,494,552,287,268,306,,,,413,341,489,,,
,76,Vague 6 : 4-6 mai,160,112,223,124,83,181,715,644,777,473,400,547,585,510,656,550,526,573,308,292,323,,,,422,351,496,,,
,84,Vague 6 : 4-6 mai,201,156,255,193,149,247,688,629,741,439,379,501,536,474,596,514,491,538,288,273,303,,,,326,271,386,,,
,93,Vague 6 : 4-6 mai,192,139,259,160,111,226,664,589,731,474,399,550,533,457,608,530,503,557,303,286,320,,,,470,396,546,,,
,11,Vague 7 : 13-15 mai,178,141,223,144,111,186,691,640,738,473,420,527,,,,,,,301,288,314,668,616,717,514,460,567,,,
,24,Vague 7 : 13-15 mai,169,97,277,126,66,228,744,637,828,395,291,509,,,,,,,285,256,314,656,544,753,485,376,595,,,
,27,Vague 7 : 13-15 mai,177,108,276,104,57,182,730,631,810,415,320,516,,,,,,,290,266,314,709,606,793,439,342,541,,,
,28,Vague 7 : 13-15 mai,138,82,223,175,112,264,601,499,695,346,260,444,,,,,,,264,239,290,659,557,747,358,269,457,,,
,32,Vague 7 : 13-15 mai,221,165,290,186,136,250,687,614,752,315,250,387,,,,,,,260,242,278,682,610,746,388,319,461,,,
,44,Vague 7 : 13-15 mai,175,125,239,162,113,227,609,533,680,438,366,513,,,,,,,298,280,315,754,681,816,486,412,561,,,
,52,Vague 7 : 13-15 mai,230,162,316,136,83,214,732,644,805,363,281,454,,,,,,,270,246,295,611,516,698,454,364,547,,,
,53,Vague 7 : 13-15 mai,175,114,259,104,59,178,646,550,731,457,364,552,,,,,,,291,269,314,671,574,754,434,342,530,,,
,75,Vague 7 : 13-15 mai,154,105,220,113,73,171,718,642,783,411,336,490,,,,,,,286,266,307,744,667,809,420,346,499,,,
,76,Vague 7 : 13-15 mai,126,85,182,144,99,204,643,569,710,465,393,539,,,,,,,294,276,311,705,633,768,492,419,566,,,
,84,Vague 7 : 13-15 mai,176,132,231,129,93,178,650,587,708,464,402,528,,,,,,,303,289,317,714,652,769,489,426,552,,,
,93,Vague 7 : 13-15 mai,193,139,263,139,93,203,642,564,714,483,406,562,,,,,,,294,274,314,677,600,746,466,389,545,,,
,11,Vague 8 : 18-20 mai,159,125,200,130,100,169,611,559,660,421,371,473,,,,,,,291,279,304,629,578,678,553,501,604,,,
,24,Vague 8 : 18-20 mai,169,102,266,82,39,162,590,479,692,414,312,524,,,,,,,268,239,297,658,548,753,528,419,634,,,
,27,Vague 8 : 18-20 mai,206,138,297,95,51,168,611,511,703,401,309,500,,,,,,,282,256,309,605,504,698,454,358,553,,,
,28,Vague 8 : 18-20 mai,160,102,242,106,61,178,642,548,727,390,303,485,,,,,,,276,252,300,645,550,730,474,381,568,,,
,32,Vague 8 : 18-20 mai,189,137,254,131,88,190,647,572,716,417,346,493,,,,,,,284,265,304,659,584,728,495,420,569,,,
,44,Vague 8 : 18-20 mai,197,141,267,103,63,162,688,610,757,489,410,568,,,,,,,294,274,314,675,597,744,523,444,602,,,
,52,Vague 8 : 18-20 mai,156,101,233,139,88,212,596,506,680,304,230,389,,,,,,,255,233,278,521,432,609,485,398,574,,,
